Venue,OG Team,OO Team,CG Team,CO Team
SL336,TUCN A,UCT B,TCD Phil A,SUFE B
,,,,
,,,,
SL361,MDS B,TAMUQ A,Singidunum A,DCB A
,,,,
,,,,
,,,,
SL375,URDU A,Harvard C,Bates A,Durham A
,,,,
,,,,
SL381,DRUMS B,IBA DU A,Lund B,Brown B
,,,,
,,,,
SL386,Middlebury A,Clemson B,RRIS A,Yale C
,,,,
,,,,
SL390,CMUQ A,UTECH A,SDU A,GSU A
,,,,
,,,,
,,,,
SL392,Bates C,UCC Phil A,MDS A,Yale B
,,,,
,,,,
SL394,NSU A,IIUM C,UChicago A,USMA A
,,,,
,,,,
,,,,
SL396,NUIG B,WCM B,FCC A,MSU BD A
,,,,
,,,,
SL427,DKWien A,Stanford E,Koç A,YNC A
,,,,
,,,,
,,,,
,,,,
,,,,
SL428,Cambridge C,Melbourne C,PEP A,LSE C
,,,,
,,,,
,,,,
SL429,HKCityU A,Tilbury A,arts A,Tec CEM A
,,,,
,,,,
SL430,CUPB A,KHDS A,STIPRam A,OpenU A
,,,,
,,,,
,,,,
SL432,IUT A,TDS B,CUNY A,Swarthmore B
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
SL433,Tribhuvan A,NUDT A,UMB A,Tec CEM C
,,,,
,,,,
SL434,USU A,QDU A,Tel Aviv A,Ateneo A
,,,,
,,,,
,,,,
SL436,USU C,UQDS C,Melbourne A,BINUS B
,,,,
,,,,
,,,,
SL483,TKC A,Comillas A,Stanford F,Imperial A
,,,,
,,,,
SL485,GWU B,DCBayreuth A,wdebating A,BBU B
,,,,
,,,,
,,,,
SL488,Melbourne B,LEIDEN C,GUU A,UCL B
,,,,
,,,,
,,,,
SL530,USDV B,UCL A,SKT A,GWU A
,,,,
,,,,
,,,,
SL532,DRUMS A,MQU A,Harvard B,Belgrade B
,,,,
,,,,
SL554,UChicago C,BUET A,Berkeley A,Stockholm A
,,,,
,,,,
,,,,
SL556,ASAFA A,NTU A,Morehouse A,McGill A
,,,,
,,,,
SL558,UBC B,Yale D,DC Ms A,Duke B
,,,,
,,,,
SL562,Brown A,VUW A,UNSW B,Oxford D
,,,,
,,,,
,,,,
,,,,
,,,,
SL576,MAD C,Lund A,IITB A,Belgrade A
,,,,
,,,,
SL2831,KSAL A,LLA A,BOGUN A,UTECH B
