,is_esl_wudc2017,wudc2017_avg,eudc2016_avg,is_esl_eudc2016,oxiv2016_avg,is_esl_oxiv2016,is_esl_camiv2016,camiv2016_avg
Bailey Reid,0.0,79.6,80.2,0.0,82.2,0.0,0.0,81.4
Barry O'Kelly,,,,,73.6,0.0,,
Bart Hordijk,,,72.9,1.0,,,,
Baruch Ávila Mendoza,1.0,70.9,,,,,,
Beatriz de León Cobo,1.0,71.6,,,,,,
Becca Williams,,,74.8,0.0,,,,
Beckie Thomas,0.0,77.7,77.0,0.0,78.0,0.0,,
Ben Becker,0.0,72.0,,,,,,
Ben Bordman,,,71.8,0.0,,,,
Ben Levy,0.0,78.0,,,,,0.0,77.6
Benedikt Rennekamp,,,74.3,1.0,,,,
Benjamin Anderson,0.0,79.4,,,78.6,0.0,0.0,80.0
Benjamin Hewitt,0.0,77.1,,,,,,
Benjamin Hilton,,,76.1,0.0,,,,
Benjamin Levy,,,71.1,1.0,,,,
Benjamin Siegel,,,74.8,1.0,,,,
Benjamin Welton,0.0,76.0,,,,,,
Benji Kalman,,,80.3,0.0,,,,
Bennett Saltzman,0.0,78.3,,,77.8,0.0,,
Beth Mallen,,,76.9,0.0,,,,
Bethan Nankivell,,,73.1,0.0,,,,
Bethany Garry,0.0,81.1,80.1,0.0,79.8,0.0,0.0,82.2
Bharath Srivatsan,0.0,78.2,,,,,0.0,77.6
Billy Wildi,,,78.4,0.0,,,,
Bobbi Leet,0.0,79.7,,,80.6,0.0,0.0,80.6
Bogdan Gliga,1.0,75.6,,,,,,
Bogdan Morosanu,1.0,76.6,,,,,,
Bon Bong,,,,,76.0,1.0,,
Bonu Hafizova,1.0,68.0,,,,,,
Bostan Nurlanov,0.0,79.9,,,,,,
Boya Zhang,,,,,,,0.0,74.6
Brad Baines,,,73.7,0.0,,,,
Brittany Garcia,,,,,,,0.0,77.4
Bronte Baker-Blake,0.0,76.8,,,,,,
Bruce Weaver,0.0,75.8,78.1,0.0,,,0.0,78.2
Bruno da Costa Santos,1.0,74.1,,,,,,
Brynde Kreft,0.0,79.3,,,,,,
Brynne Guthrie,0.0,80.4,,,,,0.0,81.0
Buket Zan,,,60.3,1.0,,,,
Caitlin Jones,,,76.4,0.0,,,,
Calan Eskandar,0.0,73.8,,,71.6,0.0,,
Caleb Langkamp,,,76.9,0.0,,,,
Caley Henderson,0.0,76.7,,,,,,
Caley Routledge,,,76.6,0.0,,,,
Calin Muresanu,1.0,78.2,,,78.4,1.0,,
Callum McLean,,,,,,,0.0,73.4
Calvin Chen,1.0,74.8,,,,,,
Calyxx Peucker,1.0,75.4,76.0,1.0,,,,
Camara Hudson,0.0,79.6,,,79.4,0.0,0.0,82.0
Cameron Craig,,,75.6,0.0,,,,
Caoimhe Meaney,,,,,,,0.0,72.0
Carl Rix,,,,,74.8,0.0,,
Carl-Fredrik Fries,,,73.8,0.0,,,,
Caroline Li,0.0,77.7,,,,,,
Cassandra Cervi,0.0,78.8,,,79.6,0.0,0.0,77.6
Catherine Prasifka,0.0,77.8,76.3,0.0,,,0.0,76.6
Catherine Zheng,0.0,79.8,,,78.4,0.0,,
Catrin Richards,,,75.4,0.0,,,,
Ceryndipity Schoel,0.0,75.8,,,75.6,0.0,0.0,72.6
Chang Hwa Hong,1.0,74.1,,,,,,
Chara Kallinteri,,,75.3,1.0,,,,
Charles Frost,0.0,71.8,,,,,,
Charles Lewis,0.0,77.0,,,,,,
Charlie Sanjaya,1.0,74.1,,,,,,
Charlotte Gliserman,0.0,77.4,,,,,,
Charlotte Massey,0.0,76.8,,,75.2,0.0,0.0,75.8
Charmaine Nadarajah,,,74.7,0.0,,,,
Chen Guo,1.0,74.4,,,,,,
Chihro Saito,1.0,70.2,,,,,,
Chikara Mizokami,1.0,75.6,,,,,,
Chloe Potamiti,,,75.1,1.0,,,,
Chomunogwa Mazarire,1.0,73.0,,,,,,
"Choy Man Kei, Florence",1.0,76.2,,,,,,
Chris Abraham,0.0,76.0,,,,,,
Chris Kirwan,,,75.0,0.0,,,,
Chris Perkins,0.0,78.6,,,,,,
Chris Whitehead,,,,,,,0.0,69.6
Christina Mitsi,,,70.6,1.0,,,,
Christina Pollkläsener,,,69.2,1.0,,,,
Christof Kebschull,,,76.8,1.0,75.6,1.0,,
Christoph Sass,1.0,76.2,,,78.2,1.0,,
Christopher Costigan,0.0,77.8,80.7,0.0,80.8,0.0,,
Christopher Crum,,,,,78.0,0.0,,
Christopher Skliros,0.0,78.3,,,,,,
Christopher Taylor,,,,,78.6,0.0,0.0,81.4
Christopher Walker,,,76.1,0.0,,,,
Chyngyz Ibraimov,1.0,72.4,,,,,,
Cian Luddy,0.0,79.6,80.8,0.0,77.6,0.0,0.0,79.2
Ciara Berry,,,77.3,0.0,,,,
Ciara Mitchell,0.0,77.2,,,79.4,0.0,0.0,78.2
Ciarán Daly,,,75.8,0.0,,,,
Claire Jackson,,,,,73.4,0.0,,
Clara Rodrigues,,,69.8,1.0,,,,
Clara Rupf,,,,,,,0.0,78.4
Clare Elwell,,,,,,,0.0,74.6
Clare Robinson,,,76.1,0.0,,,,
Clare Searle,,,76.4,0.0,,,,
Claudia Hyde,,,78.7,0.0,,,,
Claudia Silva,1.0,72.6,,,,,,
Cleo Reyes,0.0,74.1,,,,,,
Clodagh Feehely,,,75.8,0.0,,,,
Clyde Welsh,0.0,80.2,,,,,,
Cole Limbach,0.0,78.1,,,,,0.0,77.6
Colin Wu,0.0,77.7,,,,,,
Conn O Cleirigh,,,75.1,0.0,,,,
Connor Ahluwalia,0.0,76.9,,,,,,
Connor Galbraith,,,75.4,0.0,,,,
Connor Seddon,0.0,76.8,,,,,,
Conor O'Brien,,,78.3,0.0,,,,
Conor White,0.0,78.0,77.6,0.0,,,,
Corina Minden-Birkenmaier,0.0,76.2,,,,,,
Cormac Henehan,,,79.2,0.0,,,,
Cormac Manning,,,75.6,0.0,,,,
Cosmin Cristea,,,75.8,1.0,,,,
Craig Stanton,,,76.6,0.0,,,,
Cveta Gotovats,,,,,75.6,1.0,,
Daeun Lee,0.0,76.3,,,,,,
Daglar Ozkan,1.0,75.6,,,,,,
Dalith Tal-Shir,,,71.0,1.0,,,,
Damla Çay,1.0,73.7,70.2,1.0,,,,
Dan Lahav,1.0,80.9,84.3,1.0,,,1.0,83.6
Dan Roberts,0.0,78.0,79.6,0.0,78.4,0.0,,
Dan Stoyell,0.0,79.0,,,78.6,0.0,,
Dana Green,,,75.9,1.0,,,,
Danica Panic,1.0,73.1,73.6,1.0,,,,
Daniel Bareket,,,76.2,1.0,,,,
Daniel Bates,,,77.4,0.0,,,,
Daniel Bramble,,,83.2,0.0,,,,
Daniel Gilligan,,,,,78.4,0.0,,
Daniel Goren,,,74.8,1.0,,,,
Daniel Huang,0.0,78.4,,,,,,
Daniel Kirkby,0.0,80.8,,,,,,
Daniel Klein,,,78.3,0.0,,,,
Daniel Noble Stairs,,,80.3,0.0,,,,
Daniela Mayorga,0.0,71.8,,,,,,
Danielle Klinger,1.0,75.7,76.2,1.0,,,,
Danielle Movsowitz,0.0,74.2,74.8,0.0,,,,
Danil Kustin,1.0,75.7,,,,,1.0,79.2
Danny DeBois,0.0,82.4,,,81.4,0.0,,
Danny Jaffe,0.0,79.2,,,,,0.0,76.0
Dara Davis,,,,,76.4,0.0,,
Dara Keenan,,,77.8,0.0,,,,
Darion Hotan,0.0,80.1,81.3,0.0,83.4,0.0,0.0,82.0
Dariusch Klett,1.0,76.0,,,,,,
Darragh O'Donovan,0.0,69.8,,,,,,
Darrel Long,,,,,79.4,0.0,,
Dauren Binazarov,1.0,73.2,,,,,,
David Hundia,,,76.6,1.0,,,,
David Slater,0.0,80.9,,,,,,
David Wang,0.0,79.2,,,,,,
David Zhang,0.0,74.1,,,,,0.0,74.2
David __Slater,,,,,,,0.0,81.6
Davon Boyd,0.0,76.6,,,77.2,0.0,0.0,76.0
Dawid Wojciech Bartkowiak,,,76.2,0.0,,,,
Dawid Wowra,,,76.2,1.0,,,,
Dayyan Adoor,0.0,70.2,,,,,,
Dean Foley,,,76.1,0.0,,,,
Deanna Loew,,,,,,,0.0,67.4
Debi Ogunrinde,0.0,82.6,,,,,0.0,81.8
Dee Courtney,,,81.4,0.0,,,,
Deivi Õis,,,76.2,1.0,76.2,1.0,,
Dejen Abraha,,,,,69.4,0.0,,
Dena Tabyanian,0.0,77.0,,,,,,
Denizhan Kilic,,,77.7,1.0,,,,
Dennis Su,0.0,76.0,,,,,,
Devin Van den berg,1.0,80.0,80.6,1.0,81.6,1.0,1.0,80.6
Dexel Christina,,,76.4,1.0,,,,
Dhanny Lazuardi,1.0,75.7,,,,,,
Dhruva Bhat,0.0,82.8,,,80.2,0.0,,
Diego Fernando Duarte Leal,1.0,73.2,,,,,,
Dillon Burke,0.0,75.4,,,,,,
Dimitri Pollard,,,,,74.4,0.0,,
Dimity Thoms,0.0,72.9,,,,,,
Diogo Videira,,,71.8,1.0,,,,
Divyesh Daswani,0.0,73.4,,,,,,
Do Hyung Shin,0.0,74.2,,,,,,
Doriyush Soliev,1.0,68.9,,,,,,
Doug Ottino,0.0,76.4,,,,,,
Douglas Jack,0.0,77.2,,,79.0,0.0,0.0,77.2
Douglas Ottino,,,,,,,0.0,76.6
Dovi Dubin,1.0,76.1,,,,,,
Dragos Sassu,,,75.3,1.0,,,,
Drew Latimer,0.0,79.0,,,,,,
Duan Craffert,1.0,75.1,,,,,,
Duncan Bowyer,0.0,76.8,,,,,,
Duncan __Bowyer,,,,,,,0.0,76.6
Dylan Desjardins,0.0,78.0,,,77.8,0.0,,
Eamonn Sweeney,,,,,76.6,0.0,0.0,76.8
Eda Taştemür,,,65.9,1.0,,,,
Edgar Kletnieks,,,77.2,1.0,,,,
Edvards Rutkis,,,,,,,1.0,73.6
Edward Brook,,,,,75.6,0.0,,
Efe Arıcan,1.0,72.4,,,,,,
Egger Anicca,,,,,,,1.0,73.0
Eitan Har-Oz,,,80.6,0.0,,,,
Ela Jurko,1.0,75.3,76.2,1.0,,,,
Elana Leone,0.0,80.6,,,78.2,0.0,0.0,81.6
Elaye Karstadt,1.0,75.9,,,,,,
Eleanor Sharrock,,,,,,,0.0,72.6
Eleanor Sowden,,,73.0,0.0,,,,
Eleanor Yung,,,75.9,0.0,,,,
Elena Müller,,,,,74.6,0.0,,
Elijah Kochin,,,76.3,0.0,,,,
Elisabeth Vikydal,,,75.0,1.0,,,,
Elizabeta Korenčan,,,74.6,1.0,,,,
Elizabete Dikmane,,,,,,,1.0,66.4
Elizabete Fleišmane,,,,,72.8,1.0,,
Elizabeth Chloe Romanis,,,77.1,0.0,,,,
Elizabeth Lee,0.0,77.2,79.0,0.0,,,0.0,77.6
Ella McLoughlin,,,,,75.2,0.0,,
Elle Wilson,0.0,78.6,,,,,,
Ellen Hinkley,0.0,76.3,,,,,,
Ellie Markham,0.0,77.0,78.3,0.0,75.4,0.0,0.0,75.4
Ellie Shearer,,,81.1,0.0,,,,
Elliot Porter,0.0,77.9,79.2,0.0,79.6,0.0,0.0,78.6
Emily Phillimore,0.0,78.7,,,,,,
Emily Williams,0.0,78.9,,,,,,
Emma Boogeardt,0.0,80.8,,,,,,
Emma Johnstone,0.0,82.1,,,,,,
Emma Kinakin,0.0,77.6,,,,,,
Emma Lucas,1.0,78.4,78.8,1.0,80.6,1.0,1.0,81.2
Emma Nichelsen,0.0,75.9,,,,,,
Emma Rose Wirshing,0.0,77.6,,,77.6,0.0,,
Emma Spruce,,,,,73.2,0.0,,
Enda O'Riordan,,,76.0,0.0,,,,
Eoghan Finn,0.0,74.6,75.0,0.0,,,0.0,74.4
Eoin O'Gorman,,,80.9,0.0,,,,
Eoin O'Sullivan,,,80.8,0.0,,,,
Eran Shachoah,,,72.3,1.0,,,,
Erfanul Hoque,1.0,74.7,,,,,,
Eric Onuoha,1.0,77.6,,,,,,
Eric Ramoutar,0.0,79.0,,,76.8,0.0,,
Erik Haamer,,,75.9,1.0,,,,
Erik Thompson,,,76.3,0.0,,,,
Erika Martinez,1.0,72.7,,,,,,
Erin Kyle,,,79.4,0.0,,,,
Esbeidy Torres Hondal,1.0,71.2,,,,,,
Ethan Silver,,,76.8,0.0,78.0,0.0,,
Etsuko Lim,0.0,81.0,78.3,0.0,79.6,0.0,,
Evan Lynyak,0.0,82.9,,,84.0,0.0,0.0,83.4
Evelyn Setiani,1.0,74.9,,,,,,
Evie Woodforde,0.0,83.1,,,,,,
Fabian De Geer,,,72.3,0.0,,,,
Faizan Raja,1.0,75.1,,,,,,
Fanhao Yang,0.0,74.8,,,,,,
Farhanaz Farheen,0.0,74.4,,,,,,
Faria Ahmed,0.0,74.2,,,,,,
Fatma Gül Yoldaş,,,64.0,1.0,,,,
Febryan Pratama,1.0,74.0,,,,,,
Felice Wong,1.0,76.8,,,,,,
Filip Vytrisal,,,73.7,1.0,,,,
Finia Kuhlmann,0.0,76.4,,,,,,
Fionn Adamian,0.0,78.6,,,,,,
Florence Jones,,,,,74.0,0.0,,
Florian Schneider,,,73.6,1.0,,,,
Floris Holstege,1.0,80.4,79.3,1.0,79.2,1.0,1.0,81.6
Francesco Castiglione,1.0,71.3,,,,,,
Francisco Pereira,,,,,,,0.0,71.8
Frankie Orrico,0.0,77.6,,,,,,
Freddie Marshall,0.0,77.4,79.1,0.0,,,,
Frederic Augustin,1.0,73.4,,,,,,
Frederick Aly,1.0,75.0,75.7,1.0,,,,
Frederike Holewik,1.0,74.7,75.0,1.0,,,,
Gabriel Charlotte Wajong,1.0,77.4,,,,,,
Gareth Pearce,,,76.3,0.0,,,,
Garion Hicks,0.0,76.8,,,,,,
Garrett MacDonald,,,,,78.8,0.0,,
Gaziz Abishev,,,69.3,1.0,,,,
Georg Wicke,,,74.7,1.0,,,,
George Armstrong,,,,,,,0.0,72.4
George Bainbridge,,,77.3,0.0,,,,
George Clay,0.0,81.6,81.1,0.0,80.4,0.0,,
George Goddard,0.0,75.9,,,76.6,0.0,,
George Hames,,,,,76.6,0.0,,
Georgia Bloor-Wilson,0.0,77.3,,,,,,
Georgia Chahoud,0.0,78.2,,,,,,
Gerard Valldeperes,,,68.2,1.0,,,,
Giedrė Liorančaitė,,,,,72.4,1.0,,
Gigi Gil,1.0,77.9,80.7,1.0,80.0,1.0,1.0,81.6
Gillian Tiley,0.0,77.3,,,,,,
Gillis Holgersson,0.0,76.9,,,,,0.0,80.8
Gina Konietzky,,,75.6,1.0,,,,
Giraldine Duff,0.0,78.6,,,,,,
Gloria Kuppler,1.0,72.6,,,,,,
Gonzalo Herreros,0.0,71.0,,,,,,
Gordon Cheung,0.0,75.8,,,,,0.0,76.2
Grace Marshall,0.0,74.3,,,,,,
Grayson Logue,0.0,74.9,,,76.8,0.0,,
Gregory Waddell,,,76.2,0.0,,,,
Guillaume Bernard,0.0,72.9,,,,,,
Guillaume Rocher,1.0,76.7,,,,,,
Guy Yarom,,,73.6,1.0,,,,
Gwen Morris,,,74.2,0.0,,,,
Haley Giunta,0.0,74.8,,,,,,
Hamish Barker,0.0,80.2,,,76.6,0.0,0.0,78.0
Hamza Hashim,0.0,76.9,,,,,,
Hana Muraoka,1.0,74.2,,,,,,
Hannah Speed,0.0,76.1,,,75.2,0.0,0.0,74.8
Hannah Tyndall,0.0,80.0,81.2,0.0,,,0.0,80.6
Hari Krishna,0.0,73.3,,,,,,
Harry Elliott,0.0,80.3,,,82.0,0.0,0.0,80.8
Harry Higgins,,,74.6,0.0,,,,
Harry Mystakelis,,,73.4,1.0,,,,
Harry Zhang,0.0,79.0,,,,,,
Hassan Aftab,,,,,,,1.0,77.8
Hayley Arlin,,,,,,,0.0,74.2
Helena Hecke,,,71.9,1.0,,,,
Hendrik Wessels,1.0,77.1,,,,,,
Henry Howe,0.0,75.3,,,,,,
Henry Poust,,,,,73.8,0.0,,
Henry Weikel,0.0,76.4,,,,,,
Henry Zhang,0.0,81.7,,,82.8,0.0,0.0,80.6
Hernan Rosenblum,1.0,75.1,74.6,1.0,,,,
Hikari Tamura,1.0,76.4,,,,,,
Himmi Cheruvu,0.0,74.7,,,,,,
Hisayo Ohtomo,1.0,69.3,,,,,,
Hongkyeong Kim,1.0,71.4,,,,,,
Hugo Volz Oliveira,1.0,73.6,,,,,,
Huijun Mao,1.0,72.9,,,,,,
Ibrahim Steel,,,,,,,0.0,76.4
Ido Shapira,,,74.3,1.0,,,,
Igor Bobryshev,,,71.0,1.0,,,,
Igor Pavlovic,,,77.8,1.0,,,,
Ilija Ivanišević,1.0,78.7,,,81.4,1.0,1.0,78.6
Ilya Androsov,,,77.4,1.0,,,,
Ilya Tolmachev,,,72.6,1.0,,,,
Imogen Harper,0.0,80.4,,,,,,
Imogen Maclaren,,,78.1,0.0,,,,
Imran Mateo,,,,,76.2,1.0,,
Inbum Lee,,,,,77.4,0.0,,
Inga Macingwane,0.0,73.2,,,,,,
Ingo Bandhauer,1.0,74.1,73.1,1.0,,,,
Irene Miguelsanz Villanueva,1.0,74.1,71.2,1.0,74.8,1.0,1.0,71.4
Irfan Helmy,0.0,69.7,,,,,,
Irina Kovalchuk,,,70.3,0.0,,,,
Isaac Botham,0.0,77.3,,,,,,
Isaac Hordiyuk,0.0,76.9,,,,,,
Isaac Zu,0.0,76.8,,,,,,
Isabella Olson,0.0,79.9,,,80.8,0.0,0.0,78.4
Isabelle Smit,1.0,75.1,,,,,,
Isha Jain,0.0,80.8,,,,,,
Itay Nourian,1.0,73.7,,,,,,
Iuliia Pechenkina,,,71.9,1.0,,,,
Ivan Koruza,,,76.9,1.0,,,,
Ivan Velentey,1.0,76.7,77.6,1.0,79.2,1.0,1.0,79.2
Izzat Arif,0.0,77.3,,,76.8,0.0,0.0,78.4
Jack Kennedy,0.0,77.6,,,76.4,0.0,0.0,77.0
Jack Nordell,0.0,76.0,,,,,,
Jack Williams,0.0,74.0,,,76.0,0.0,,
Jackie Li,0.0,78.4,,,,,,
Jacklin Kwan,0.0,76.4,,,76.4,0.0,,
Jacob Rock,0.0,78.6,,,,,,
Jacob Shercliffe,0.0,78.1,,,,,0.0,79.6
Jae Ahn,,,,,72.2,1.0,1.0,76.4
Jaewon Kim,0.0,78.8,,,77.8,0.0,,
Jaime Casigay,0.0,74.7,,,,,,
Jainah J,0.0,78.1,,,77.6,0.0,0.0,77.4
Jake Armes,,,76.4,0.0,,,,
Jakobus Jaspersen,,,75.1,1.0,,,,
Jameel Manji,0.0,77.9,,,,,,
James Cowling,,,77.2,0.0,,,,
James Edwards,,,70.2,0.0,,,,
James Johnston,,,,,,,0.0,72.4
James Leeder,0.0,82.6,,,,,,
James Mills,,,78.2,0.0,,,,
James Penn,0.0,82.2,,,,,,
James Rankin,0.0,82.2,,,,,,
James Richardson,0.0,75.6,,,,,,
James Stratton,0.0,81.0,,,,,,
James Ward,0.0,77.7,,,,,,
James Wink,0.0,78.3,,,,,,
Jamie Baross,,,77.8,0.0,,,,
Jamie Jackson,,,80.7,0.0,,,,
Jan Jęcz,,,75.0,1.0,,,,
Jan-Henrik Hinselmann,0.0,74.1,,,,,,
Jane Carroll,0.0,80.2,,,,,,
Jang Seokwoo,1.0,77.7,,,,,,
Janko Djordjevic,1.0,79.7,76.8,1.0,78.6,1.0,1.0,76.6
Jasmine Abdullah,0.0,82.7,,,80.6,0.0,0.0,81.4
Jason Anderson,0.0,71.9,,,,,,
Jason Palmer,,,,,76.4,0.0,,
Jason Wee,,,,,,,1.0,77.8
Javier De la Puerta,1.0,75.7,,,,,,
Jazlina Sutanto,,,75.8,0.0,,,,
Jeanne Sanjaya,1.0,72.9,,,,,,
Jee Soo Lee,1.0,76.7,,,,,,
Jeen Chun,,,73.6,0.0,,,,
Jelena Mitrović,,,72.0,1.0,,,,
Jelisaveta Stanisic,1.0,78.8,,,,,,
Jelte Schievels,1.0,75.9,76.4,1.0,,,,
Jenni Juvonen,1.0,74.8,,,,,,
Jennifer Hibberts,0.0,74.0,,,,,,
Jennifer Roell,,,71.4,0.0,,,,
Jeremy Chen,0.0,78.0,,,,,,
Jerusalem Demsas,0.0,80.1,,,,,,
Jesper Eriksson,,,77.7,0.0,,,,
